Country,Region,Population,Area_sq_mi,Pop_Density_per_sq_mi,Coastline_coast_to_area_ratio,Net_migration,Infant_mortality_per_1000_births,GDP,Literacy_%,Phones_per_1000,Arable_%,Crops_%,Other_%,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Afghanistan,ASIA (EX. NEAR EAST),31056997,647500,"48,0","0,00","23,06",16307,700,360,"3,2","12,13","0,22",8765,1,466,2034,"0,38","0,24","0,38"
Albania,EASTERN EUROPE,3581655,28748,"124,6","1,26","-4,93",2152,4500,865,"71,2","21,09","4,42",7449,3,1511,522,"0,232","0,188","0,579"
Algeria,NORTHERN AFRICA,32930091,2381740,"13,8","0,04","-0,39",31,6000,700,"78,1","3,22","0,25",9653,1,1714,461,"0,101","0,6","0,298"
American Samoa,OCEANIA,57794,199,"290,4","58,29","-20,71",927,8000,970,"259,5",10,15,75,2,2246,327,NA,NA,NA
Andorra,WESTERN EUROPE,71201,468,"152,1","0,00","6,6",405,19000,1000,"497,2","2,22",0,9778,3,871,625,NA,NA,NA
Angola,SUB-SAHARAN AFRICA,12127071,1246700,"9,7","0,13",0,19119,1900,420,"7,8","2,41","0,24",9735,NA,4511,242,"0,096","0,658","0,246"
Anguilla,LATIN AMER. & CARIB,13477,102,"132,1","59,80","10,76",2103,8600,950,"460,0",0,0,100,2,1417,534,"0,04","0,18","0,78"
Antigua & Barbuda,LATIN AMER. & CARIB,69108,443,"156,0","34,54","-6,15",1946,11000,890,"549,9","18,18","4,55",7727,2,1693,537,"0,038","0,22","0,743"
Argentina,LATIN AMER. & CARIB,39921833,2766890,"14,4","0,18","0,61",1518,11200,971,"220,4","12,31","0,48",8721,3,1673,755,"0,095","0,358","0,547"
Armenia,C.W. OF IND. STATES,2976372,29800,"99,9","0,00","-6,47",2328,3500,986,"195,7","17,55","2,3",8015,4,1207,823,"0,239","0,343","0,418"
Aruba,LATIN AMER. & CARIB,71891,193,"372,5","35,49",0,589,28000,970,"516,1","10,53",0,8947,2,1103,668,"0,004","0,333","0,663"
Australia,OCEANIA,20264082,7686850,"2,6","0,34","3,98",469,29000,1000,"565,5","6,55","0,04",9341,1,1214,751,"0,038","0,262","0,7"
Austria,WESTERN EUROPE,8192880,83870,"97,7","0,00",2,466,30000,980,"452,2","16,91","0,86",8223,3,874,976,"0,018","0,304","0,678"
Azerbaijan,C.W. OF IND. STATES,7961619,86600,"91,9","0,00","-4,9",8174,3400,970,"137,1","19,63","2,71",7766,1,2074,975,"0,141","0,457","0,402"
"Bahamas, The",LATIN AMER. & CARIB,303770,13940,"21,8","25,41","-2,2",2521,16700,956,"460,6","0,8","0,4",988,2,1757,905,"0,03","0,07","0,9"
Bahrain,NEAR EAST,698585,665,"1050,5","24,21","1,05",1727,16900,891,"281,3","2,82","5,63",9155,1,178,414,"0,005","0,387","0,608"
Bangladesh,ASIA (EX. NEAR EAST),147365352,144000,"1023,4","0,40","-0,71",626,1900,431,"7,3","62,11","3,07",3482,2,298,827,"0,199","0,198","0,603"
Barbados,LATIN AMER. & CARIB,279912,431,"649,5","22,51","-0,31",125,15700,974,"481,9","37,21","2,33",6046,2,1271,867,"0,06","0,16","0,78"
Belarus,C.W. OF IND. STATES,10293011,207600,"49,6","0,00","2,54",1337,6100,996,"319,1","29,55","0,6",6985,4,1116,1402,"0,093","0,316","0,591"
Belgium,WESTERN EUROPE,10379067,30528,"340,0","0,22","1,23",468,29100,980,"462,6","23,28","0,4",7632,3,1038,1027,"0,01","0,24","0,749"
Belize,LATIN AMER. & CARIB,287730,22966,"12,5","1,68",0,2569,4900,941,"115,7","2,85","1,71",9544,2,2884,572,"0,142","0,152","0,612"
Benin,SUB-SAHARAN AFRICA,7862944,112620,"69,8","0,11",0,85,1100,409,"9,7","18,08","2,4",7952,2,3885,1222,"0,316","0,138","0,546"
Bermuda,NORTHERN AMERICA,65773,53,"1241,0","194,34","2,49",853,36000,980,"851,4",20,0,80,2,114,774,"0,01","0,1","0,89"
Bhutan,ASIA (EX. NEAR EAST),2279723,47000,"48,5","0,00",0,10044,1300,422,"14,3","3,09","0,43",9648,2,3365,127,"0,258","0,379","0,363"
Bolivia,LATIN AMER. & CARIB,8989046,1098580,"8,2","0,00","-1,32",5311,2400,872,"71,9","2,67","0,19",9714,15,233,753,"0,128","0,352","0,52"
Bosnia & Herzegovina,EASTERN EUROPE,4498976,51129,"88,0","0,04","0,31",2105,6100,NA,"215,4","13,6","2,96",8344,4,877,827,"0,142","0,308","0,55"
Botswana,SUB-SAHARAN AFRICA,1639833,600370,"2,7","0,00",0,5458,9000,798,"80,5","0,65","0,01",9934,1,2308,295,"0,024","0,469","0,507"
Brazil,LATIN AMER. & CARIB,188078227,8511965,"22,1","0,09","-0,03",2961,7600,864,"225,3","6,96","0,9",9215,2,1656,617,"0,084","0,4","0,516"
British Virgin Is.,LATIN AMER. & CARIB,23098,153,"151,0","52,29","10,01",1805,16000,978,"506,5",20,"6,67",7333,2,1489,442,"0,018","0,062","0,92"
Brunei,ASIA (EX. NEAR EAST),379444,5770,"65,8","2,79","3,59",1261,18600,939,"237,2","0,57","0,76",9867,2,1879,345,"0,036","0,561","0,403"
Bulgaria,EASTERN EUROPE,7385367,110910,"66,6","0,32","-4,58",2055,7600,986,"336,3","40,02","1,92",5806,3,965,1427,"0,093","0,304","0,603"
Burkina Faso,SUB-SAHARAN AFRICA,13902972,274200,"50,7","0,00",0,9757,1100,266,"7,0","14,43","0,19",8538,2,4562,156,"0,322","0,196","0,482"
Burma,ASIA (EX. NEAR EAST),47382633,678500,"69,8","0,28","-1,8",6724,1800,853,"10,1","15,19","0,97",8384,2,1791,983,"0,564","0,082","0,353"
Burundi,SUB-SAHARAN AFRICA,8090068,27830,"290,7","0,00","-0,06",6929,600,516,"3,4","35,05","14,02",5093,2,4222,1346,"0,463","0,203","0,334"
Cambodia,ASIA (EX. NEAR EAST),13881427,181040,"76,7","0,24",0,7148,1900,694,"2,6","20,96","0,61",7843,2,269,906,"0,35","0,3","0,35"
Cameroon,SUB-SAHARAN AFRICA,17340702,475440,"36,5","0,08",0,6826,1800,790,"5,7","12,81","2,58",8461,15,3389,1347,"0,448","0,17","0,382"
Canada,NORTHERN AMERICA,33098932,9984670,"3,3","2,02","5,96",475,29800,970,"552,2","4,96","0,02",9502,NA,1078,78,"0,022","0,294","0,684"
Cape Verde,SUB-SAHARAN AFRICA,420979,4033,"104,4","23,93","-12,07",4777,1400,766,"169,6","9,68","0,5",8982,3,2487,655,"0,121","0,219","0,66"
Cayman Islands,LATIN AMER. & CARIB,45436,262,"173,4","61,07","18,75",819,35000,980,"836,3","3,85",0,9615,2,1274,489,"0,014","0,032","0,954"
Central African Rep.,SUB-SAHARAN AFRICA,4303356,622984,"6,9","0,00",0,91,1100,510,"2,3","3,1","0,14",9676,2,3391,1865,"0,55","0,2","0,25"
Chad,SUB-SAHARAN AFRICA,9944201,1284000,"7,7","0,00","-0,11",9382,1200,475,"1,3","2,86","0,02",9712,2,4573,1638,"0,335","0,259","0,406"
Chile,LATIN AMER. & CARIB,16134219,756950,"21,3","0,85",0,88,9900,962,"213,0","2,65","0,42",9693,3,1523,581,"0,06","0,493","0,447"
China,ASIA (EX. NEAR EAST),1313973713,9596960,"136,9","0,15","-0,4",2418,5000,909,"266,7","15,4","1,25",8335,15,1325,697,"0,125","0,473","0,403"
Colombia,LATIN AMER. & CARIB,43593035,1138910,"38,3","0,28","-0,31",2097,6300,925,"176,2","2,42","1,67",9591,2,2048,558,"0,125","0,342","0,533"
Comoros,SUB-SAHARAN AFRICA,690948,2170,"318,4","15,67",0,7493,700,565,"24,5","35,87","23,32",4081,2,3693,82,"0,4","0,04","0,56"
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA,62660551,2345410,"26,7","0,00",0,9469,700,655,"0,2","2,96","0,52",9652,2,4369,1327,"0,55","0,11","0,34"
"Congo, Repub. of the",SUB-SAHARAN AFRICA,3702314,342000,"10,8","0,05","-0,17",9386,700,838,"3,7","0,51","0,13",9936,2,4257,1293,"0,062","0,57","0,369"
Cook Islands,OCEANIA,21388,240,"89,1","50,00",NA,NA,5000,950,"289,9","17,39","13,04",6957,2,21,NA,"0,151","0,096","0,753"
Costa Rica,LATIN AMER. & CARIB,4075261,51100,"79,8","2,52","0,51",995,9100,960,"340,7","4,41","5,88",8971,2,1832,436,"0,088","0,299","0,614"
Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843,322460,"54,8","0,16","-0,07",9083,1400,509,"14,6","9,75","13,84",7641,2,3511,1484,"0,279","0,171","0,55"
Croatia,EASTERN EUROPE,4494749,56542,"79,5","10,32","1,58",684,10600,985,"420,4","26,09","2,27",7165,NA,961,1148,"0,07","0,308","0,622"
Cuba,LATIN AMER. & CARIB,11382820,110860,"102,7","3,37","-1,58",633,2900,970,"74,7","33,05","7,6",5935,2,1189,722,"0,055","0,261","0,684"
Cyprus,NEAR EAST,784301,9250,"84,8","7,01","0,43",718,19200,976,NA,"7,79","4,44",8777,3,1256,768,"0,037","0,198","0,765"
Czech Republic,EASTERN EUROPE,10235455,78866,"129,8","0,00","0,97",393,15700,999,"314,3","39,8","3,05",5715,3,902,1059,"0,034","0,393","0,573"
Denmark,WESTERN EUROPE,5450661,43094,"126,5","16,97","2,48",456,31100,1000,"614,6","54,02","0,19",4579,3,1113,1036,"0,018","0,246","0,735"
Djibouti,SUB-SAHARAN AFRICA,486530,23000,"21,2","1,37",0,10413,1300,679,"22,8","0,04",0,9996,1,3953,1931,"0,179","0,225","0,596"
Dominica,LATIN AMER. & CARIB,68910,754,"91,4","19,63","-13,87",1415,5400,940,"304,8","6,67",20,7333,2,1527,673,"0,177","0,328","0,495"
Dominican Republic,LATIN AMER. & CARIB,9183984,48730,"188,5","2,64","-3,22",3238,6000,847,"97,4","22,65","10,33",6702,2,2322,573,"0,112","0,306","0,582"
East Timor,ASIA (EX. NEAR EAST),1062777,15007,"70,8","4,70",0,4741,500,586,NA,"4,71","0,67",9462,2,2699,624,"0,085","0,231","0,684"
Ecuador,LATIN AMER. & CARIB,13547510,283560,"47,8","0,79","-8,58",2366,3300,925,"125,6","5,85","4,93",8922,2,2229,423,"0,07","0,312","0,618"
Egypt,NORTHERN AFRICA,78887007,1001450,"78,8","0,24","-0,22",3259,4000,577,"131,8","2,87","0,48",9665,1,2294,523,"0,149","0,357","0,493"
El Salvador,LATIN AMER. & CARIB,6822378,21040,"324,3","1,46","-3,74",251,4800,802,"142,4","31,85","12,07",5608,2,2661,578,"0,099","0,302","0,599"
Equatorial Guinea,SUB-SAHARAN AFRICA,540109,28051,"19,3","1,06",0,8513,2700,857,"18,5","4,63","3,57",918,2,3559,1506,"0,03","0,906","0,062"
Eritrea,SUB-SAHARAN AFRICA,4786994,121320,"39,5","1,84",0,7487,700,586,"7,9","4,95","0,03",9502,15,3433,96,"0,102","0,254","0,643"
Estonia,BALTICS,1324333,45226,"29,3","8,39","-3,16",787,12300,998,"333,8","16,04","0,45",8351,3,1004,1325,"0,04","0,294","0,666"
Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,"66,3","0,00",0,9532,700,427,"8,2","10,71","0,75",8854,2,3798,1486,"0,475","0,099","0,426"
Faroe Islands,WESTERN EUROPE,47246,1399,"33,8","79,84","1,41",624,22000,NA,"503,8","2,14",0,9786,NA,1405,87,"0,27","0,11","0,62"
Fiji,OCEANIA,905949,18270,"49,6","6,18","-3,14",1262,5800,937,"112,6","10,95","4,65",844,2,2255,565,"0,089","0,135","0,776"
Finland,WESTERN EUROPE,5231372,338145,"15,5","0,37","0,95",357,27400,1000,"405,3","7,19","0,03",9278,3,1045,986,"0,028","0,295","0,676"
France,WESTERN EUROPE,60876136,547030,"111,3","0,63","0,66",426,27600,990,"586,4","33,53","2,07",644,4,1199,914,"0,022","0,214","0,764"
French Guiana,LATIN AMER. & CARIB,199509,91000,"2,2","0,42","6,27",1207,8300,830,"255,6","0,14","0,05",9981,2,2046,488,"0,066","0,156","0,778"
French Polynesia,OCEANIA,274578,4167,"65,9","60,60","2,94",844,17500,980,"194,5","0,82","5,46",9372,2,1668,469,"0,031","0,19","0,769"
Gabon,SUB-SAHARAN AFRICA,1424906,267667,"5,3","0,33",0,5364,5500,632,"27,4","1,26","0,66",9808,2,3616,1225,"0,061","0,592","0,348"
"Gambia, The",SUB-SAHARAN AFRICA,1641564,11300,"145,3","0,71","1,57",7202,1700,401,"26,8",25,"0,5",745,2,3937,1225,"0,308","0,142","0,549"
Gaza Strip,NEAR EAST,1428757,360,"3968,8","11,11","1,6",2293,600,NA,"244,3","28,95","21,05",50,3,3945,38,"0,03","0,283","0,687"
Georgia,C.W. OF IND. STATES,4661473,69700,"66,9","0,44","-4,7",1859,2500,990,"146,6","11,44","3,86",847,3,1041,923,"0,172","0,275","0,553"
Germany,WESTERN EUROPE,82422299,357021,"230,9","0,67","2,18",416,27600,990,"667,9","33,85","0,59",6556,3,825,1062,"0,009","0,296","0,695"
Ghana,SUB-SAHARAN AFRICA,22409572,239460,"93,6","0,23","-0,64",5143,2200,748,"14,4","16,26","9,67",7407,2,3052,972,"0,366","0,246","0,387"
Gibraltar,WESTERN EUROPE,27928,7,"3989,7","171,43",0,513,17500,NA,"877,7",0,0,100,NA,1074,931,NA,NA,NA
Greece,WESTERN EUROPE,10688058,131940,"81,0","10,37","2,35",553,20000,975,"589,7","21,1","8,78",7012,3,968,1024,"0,054","0,213","0,733"
Greenland,NORTHERN AMERICA,56361,2166086,"0,0","2,04","-8,37",1582,20000,NA,"448,9",0,0,100,1,1593,784,NA,NA,NA
Grenada,LATIN AMER. & CARIB,89703,344,"260,8","35,17","-13,92",1462,5000,980,"364,5","5,88","29,41",6471,2,2208,688,"0,054","0,18","0,766"
Guadeloupe,LATIN AMER. & CARIB,452776,1780,"254,4","17,19","-0,15",86,8000,900,"463,8","11,24","3,55",8521,2,1505,609,"0,15","0,17","0,68"
Guam,OCEANIA,171019,541,"316,1","23,20",0,694,21000,990,"492,0","9,09","16,36",7455,2,1879,448,NA,NA,NA
Guatemala,LATIN AMER. & CARIB,12293545,108890,"112,9","0,37","-1,67",3593,4100,706,"92,1","12,54","5,03",8243,2,2988,52,"0,227","0,188","0,585"
Guernsey,WESTERN EUROPE,65409,78,"838,6","64,10","3,84",471,20000,NA,"842,4",NA,NA,NA,3,881,1001,"0,03","0,1","0,87"
Guinea,SUB-SAHARAN AFRICA,9690222,245857,"39,4","0,13","-3,06",9037,2100,359,"2,7","3,63","2,58",9379,2,4176,1548,"0,237","0,362","0,401"
Guinea-Bissau,SUB-SAHARAN AFRICA,1442029,36120,"39,9","0,97","-1,57",10717,800,424,"7,4","10,67","8,82",8051,2,3722,1653,"0,62","0,12","0,26"
Guyana,LATIN AMER. & CARIB,767245,214970,"3,6","0,21","-2,07",3326,4000,988,"143,5","2,44","0,15",9741,2,1828,828,"0,37","0,203","0,427"
Haiti,LATIN AMER. & CARIB,8308504,27750,"299,4","6,38","-3,4",7345,1600,529,"16,9","28,3","11,61",6009,2,3644,1217,"0,28","0,2","0,52"
Honduras,LATIN AMER. & CARIB,7326496,112090,"65,4","0,73","-1,99",2932,2600,762,"67,5","9,55","3,22",8723,2,2824,528,"0,139","0,312","0,549"
Hong Kong,ASIA (EX. NEAR EAST),6940432,1092,"6355,7","67,12","5,24",297,28800,935,"546,7","5,05","1,01",9394,2,729,629,"0,001","0,092","0,906"
Hungary,EASTERN EUROPE,9981334,93030,"107,3","0,00","0,86",857,13900,994,"336,2","50,09","2,06",4785,3,972,1311,"0,037","0,312","0,651"
Iceland,WESTERN EUROPE,299388,103000,"2,9","4,83","2,38",331,30900,999,"647,7","0,07",0,9993,3,1364,672,"0,086","0,15","0,765"
India,ASIA (EX. NEAR EAST),1095351995,3287590,"333,2","0,21","-0,07",5629,2900,595,"45,4","54,4","2,74",4286,25,2201,818,"0,186","0,276","0,538"
Indonesia,ASIA (EX. NEAR EAST),245452739,1919440,"127,9","2,85",0,356,3200,879,"52,0","11,32","7,23",8145,2,2034,625,"0,134","0,458","0,408"
Iran,ASIA (EX. NEAR EAST),68688433,1648000,"41,7","0,15","-0,84",4158,7000,794,"276,4","8,72","1,39",8989,1,17,555,"0,116","0,424","0,46"
Iraq,NEAR EAST,26783383,437072,"61,3","0,01",0,5025,1500,404,"38,6","13,15","0,78",8607,1,3198,537,"0,073","0,666","0,261"
Ireland,WESTERN EUROPE,4062235,70280,"57,8","2,06","4,99",539,29600,980,"500,5","15,2","0,03",8477,3,1445,782,"0,05","0,46","0,49"
Isle of Man,WESTERN EUROPE,75441,572,"131,9","27,97","5,36",593,21000,NA,"676,0",9,0,91,3,1105,1119,"0,01","0,13","0,86"
Israel,NEAR EAST,6352117,20770,"305,8","1,31","0,68",703,19800,954,"462,3","16,39","4,17",7944,3,1797,618,"0,026","0,317","0,657"
Italy,WESTERN EUROPE,58133509,301230,"193,0","2,52","2,07",594,26700,986,"430,9","27,79","9,53",6268,NA,872,104,"0,021","0,291","0,688"
Jamaica,LATIN AMER. & CARIB,2758124,10991,"250,9","9,30","-4,92",1236,3900,879,"124,0","16,07","10,16",7377,2,2082,652,"0,049","0,337","0,615"
Japan,ASIA (EX. NEAR EAST),127463611,377835,"337,4","7,87",0,326,28200,990,"461,2","12,19","0,96",8685,3,937,916,"0,017","0,258","0,725"
Jersey,WESTERN EUROPE,91084,116,"785,2","60,34","2,76",524,24800,NA,"811,3",0,0,100,3,93,928,"0,05","0,02","0,93"
Jordan,NEAR EAST,5906760,92300,"64,0","0,03","6,59",1735,4300,913,"104,5","2,67","1,83",955,1,2125,265,"0,033","0,287","0,68"
Kazakhstan,C.W. OF IND. STATES,15233244,2717300,"5,6","0,00","-3,35",2921,6300,984,"164,1","7,98","0,05",9197,4,16,942,"0,067","0,386","0,547"
Kenya,SUB-SAHARAN AFRICA,34707817,582650,"59,6","0,09","-0,1",6147,1000,851,"8,1","8,08","0,98",9094,15,3972,1402,"0,163","0,188","0,651"
Kiribati,OCEANIA,105432,811,"130,0","140,94",0,4852,800,NA,"42,7","2,74","50,68",4658,2,3065,826,"0,089","0,242","0,668"
"Korea, North",ASIA (EX. NEAR EAST),23113019,120540,"191,8","2,07",0,2404,1300,990,"42,4","20,76","2,49",7675,3,1554,713,"0,3","0,34","0,36"
"Korea, South",ASIA (EX. NEAR EAST),48846823,98480,"496,0","2,45",0,705,17800,979,"486,1","17,18","1,95",8087,3,10,585,"0,033","0,403","0,563"
